"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2257","пустой пароль — ошибка Password is required","ui-firefox","2026-09-05","passed","2026-09-05","Авторизация","ui/login.spec.ts","",""
"","2098","без индекса дальше не пускает","ui-chromium","2026-09-05","passed","2026-09-05","Оформление заказа","ui/checkout.spec.ts","",""
"","2323","добавленные товары видны в корзине","ui-chromium","2026-09-05","passed","2026-09-05","Корзина","ui/cart.spec.ts","",""
"","6285","полный happy path: сумма = товары + налог","ui-firefox","2026-09-05","passed","2026-09-05","Оформление заказа","ui/checkout.spec.ts","",""
"","1396","успешный вход стандартным пользователем","ui-chromium","2026-09-05","passed","2026-09-05","Авторизация","ui/login.spec.ts","",""
"","3198","сортировка по имени Z→A","ui-webkit","2026-09-05","passed","2026-09-05","Каталог","ui/inventory.spec.ts","",""
"","1568","сортировка по цене: от дешёвых к дорогим","ui-chromium","2026-09-05","passed","2026-09-05","Каталог","ui/inventory.spec.ts","",""
"","3692","cancel возвращает в корзину","ui-webkit","2026-09-05","passed","2026-09-05","Оформление заказа","ui/checkout.spec.ts","",""
"","2288","выход возвращает на форму логина","ui-chromium","2026-09-05","passed","2026-09-05","Авторизация","ui/login.spec.ts","",""
"","235","список товаров: пагинация и обязательные поля","api","2026-09-05","passed","2026-09-05","API: товары","api/products.spec.ts","",""
"","2436","успешный вход стандартным пользователем","ui-firefox","2026-09-05","passed","2026-09-05","Авторизация","ui/login.spec.ts","",""
"","59","товар по id","api","2026-09-05","passed","2026-09-05","API: товары","api/products.spec.ts","",""
"","698","логин с валидными кредами возвращает токен и профиль","api","2026-09-05","passed","2026-09-05","API: авторизация","api/auth.spec.ts","",""
"","8051","удаление в корзине обновляет список и счётчик","ui-webkit","2026-09-05","passed","2026-09-05","Корзина","ui/cart.spec.ts","",""
"","7680","добавленные товары видны в корзине","ui-webkit","2026-09-05","passed","2026-09-05","Корзина","ui/cart.spec.ts","",""
"","162","создание товара возвращает id и присланные поля","api","2026-09-05","passed","2026-09-05","API: товары","api/products.spec.ts","",""
"","541","обновление товара меняет только присланное поле","api","2026-09-05","passed","2026-09-05","API: товары","api/products.spec.ts","",""
"","576","защищённый ресурс без токена не отдаётся","api","2026-09-05","passed","2026-09-05","API: авторизация","api/auth.spec.ts","",""
"","408","защищённый ресурс с токеном отдаёт текущего пользователя","api","2026-09-05","passed","2026-09-05","API: авторизация","api/auth.spec.ts","",""
"","2768","показывает все 6 товаров с названием и ценой","ui-firefox","2026-09-05","passed","2026-09-05","Каталог","ui/inventory.spec.ts","",""
"","2708","заблокированный пользователь не входит","ui-webkit","2026-09-05","passed","2026-09-05","Авторизация","ui/login.spec.ts","",""
"","3555","без индекса дальше не пускает","ui-firefox","2026-09-05","passed","2026-09-05","Оформление заказа","ui/checkout.spec.ts","",""
"","3146","cancel возвращает в корзину","ui-firefox","2026-09-05","passed","2026-09-05","Оформление заказа","ui/checkout.spec.ts","",""
"","2735","сортировка по цене: от дешёвых к дорогим","ui-firefox","2026-09-05","passed","2026-09-05","Каталог","ui/inventory.spec.ts","",""
"","1659","сортировка по имени Z→A","ui-chromium","2026-09-05","passed","2026-09-05","Каталог","ui/inventory.spec.ts","",""
"","2125","без имени дальше не пускает","ui-chromium","2026-09-05","passed","2026-09-05","Оформление заказа","ui/checkout.spec.ts","",""
"","169","поиск возвращает только релевантные товары","api","2026-09-05","passed","2026-09-05","API: товары","api/products.spec.ts","",""
"","5480","добавленные товары видны в корзине","ui-firefox","2026-09-05","passed","2026-09-05","Корзина","ui/cart.spec.ts","",""
"","5435","continue shopping возвращает в каталог, корзина не теряется","ui-firefox","2026-09-05","passed","2026-09-05","Корзина","ui/cart.spec.ts","",""
"","2048","cancel возвращает в корзину","ui-chromium","2026-09-05","passed","2026-09-05","Оформление заказа","ui/checkout.spec.ts","",""
"","1583","сортировка по цене: от дорогих к дешёвым","ui-chromium","2026-09-05","passed","2026-09-05","Каталог","ui/inventory.spec.ts","",""
"","2147","удаление в корзине обновляет список и счётчик","ui-chromium","2026-09-05","passed","2026-09-05","Корзина","ui/cart.spec.ts","",""
"","3530","удаление товара из каталога очищает счётчик","ui-webkit","2026-09-05","passed","2026-09-05","Каталог","ui/inventory.spec.ts","",""
"","2378","сортировка по имени Z→A","ui-firefox","2026-09-05","passed","2026-09-05","Каталог","ui/inventory.spec.ts","",""
"","3495","сортировка по цене: от дешёвых к дорогим","ui-webkit","2026-09-05","passed","2026-09-05","Каталог","ui/inventory.spec.ts","",""
"","5658","удаление в корзине обновляет список и счётчик","ui-firefox","2026-09-05","passed","2026-09-05","Корзина","ui/cart.spec.ts","",""
"","2302","заблокированный пользователь не входит","ui-firefox","2026-09-05","passed","2026-09-05","Авторизация","ui/login.spec.ts","",""
"","1564","добавление товара увеличивает счётчик корзины","ui-chromium","2026-09-05","passed","2026-09-05","Каталог","ui/inventory.spec.ts","",""
"","2721","неверный пароль — понятная ошибка","ui-webkit","2026-09-05","passed","2026-09-05","Авторизация","ui/login.spec.ts","",""
